Reporting Period,Accounting Period,Artist(s),Release,Track,UPC,ISRC,Partner,Country,Type,Units,Revenue (USD),Revenue Share (%),Split Pay Share (%)
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,CA,AD_STREAM,2.000000000,0.000458400,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,DE,AD_STREAM,11.000000000,0.004500500,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,ES,AD_STREAM,2.000000000,0.000060100,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,FR,AD_STREAM,3.000000000,0.000861700,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,GB,AD_STREAM,5.000000000,0.003702100,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,IT,AD_STREAM,2.000000000,0.001584800,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,NL,AD_STREAM,2.000000000,0.000699800,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,US,AD_STREAM,17.000000000,0.030225600,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,GB,SUB_STREAM,1.000000000,0.004686800,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,US,SUB_STREAM,1.000000000,0.005552200,100,100
2024-12-01,2025-01-01,Le Zhang,,魔法师的草药茶,,QZMHM2571698,SOUNDCLOUD,CA,AD_STREAM,1.000000000,0.000345000,100,100
2024-12-01,2025-01-01,Le Zhang,,魔法师的草药茶,,QZMHM2571698,SOUNDCLOUD,DE,AD_STREAM,1.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,魔法师的草药茶,,QZMHM2571698,SOUNDCLOUD,ES,AD_STREAM,1.000000000,0.000066500,100,100
2024-12-01,2025-01-01,Le Zhang,,魔法师的草药茶,,QZMHM2571698,SOUNDCLOUD,GB,AD_STREAM,1.000000000,0.001482000,100,100
2024-12-01,2025-01-01,Le Zhang,,魔法师的草药茶,,QZMHM2571698,SOUNDCLOUD,MX,AD_STREAM,1.000000000,0.000376500,100,100
2024-12-01,2025-01-01,Le Zhang,,魔法师的草药茶,,QZMHM2571698,SOUNDCLOUD,US,AD_STREAM,6.000000000,0.013759000,100,100
2024-12-01,2025-01-01,Le Zhang,,魔法师的草药茶,,QZMHM2571698,SOUNDCLOUD,US,SUB_STREAM,1.000000000,0.003180000,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,AU,AD_STREAM,2.000000000,0.003207500,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,CA,AD_STREAM,9.000000000,0.002520200,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,CH,AD_STREAM,2.000000000,0.000925400,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,DE,AD_STREAM,23.000000000,0.008812500,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,ES,AD_STREAM,1.000000000,0.000074500,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,FR,AD_STREAM,10.000000000,0.004332600,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,GB,AD_STREAM,15.000000000,0.022566200,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,IE,AD_STREAM,2.000000000,0.001698500,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,IT,AD_STREAM,3.000000000,0.001636800,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,NL,AD_STREAM,1.000000000,0.000339600,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,NZ,AD_STREAM,1.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,PT,AD_STREAM,1.000000000,0.000151400,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,SE,AD_STREAM,1.000000000,0.000320900,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,US,AD_STREAM,45.000000000,0.097209600,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,GB,SUB_STREAM,2.000000000,0.041497500,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,IE,SUB_STREAM,2.000000000,0.002918000,100,100
2024-12-01,2025-01-01,Le Zhang,,必经之路,,QZMHP2550738,SOUNDCLOUD,US,SUB_STREAM,9.000000000,0.058685700,100,100
2024-12-01,2025-01-01,Le Zhang,,Fireside Chat,,QZS632579333,SOUNDCLOUD,US,AD_STREAM,1.000000000,0.002242600,100,100
2024-12-01,2025-01-01,Le Zhang,,新年-停泊他乡,,QZS642532423,SOUNDCLOUD,AU,AD_STREAM,2.000000000,0.003084400,100,100
2024-12-01,2025-01-01,Le Zhang,,新年-停泊他乡,,QZS642532423,SOUNDCLOUD,DE,AD_STREAM,1.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,新年-停泊他乡,,QZS642532423,SOUNDCLOUD,FI,AD_STREAM,1.000000000,0.001737000,100,100
2024-12-01,2025-01-01,Le Zhang,,新年-停泊他乡,,QZS642532423,SOUNDCLOUD,FR,AD_STREAM,1.000000000,0.000659600,100,100
